atm_inventario_año;atm_inventario_grupo_cont;atm_inventario_sector;atm_inventario_sector_descripcion;atm_inventario_cont_desc;atm_inventario_cont_unidades;atm_inventario_cont_cantidad
2020;Acidificadores, precursores de ozono y gases de efecto invernadero;1,0;Combustión en la producción y transformación de energía;PFC;t CO2eq;0.00
2020;Acidificadores, precursores de ozono y gases de efecto invernadero;2,0;Plantas de combustión no industrial;PFC;t CO2eq;0.00
2020;Acidificadores, precursores de ozono y gases de efecto invernadero;3,0;Plantas de combustión industrial;PFC;t CO2eq;0.00
2020;Acidificadores, precursores de ozono y gases de efecto invernadero;4,0;Procesos industriales sin combustión;PFC;t CO2eq;0.00
2020;Acidificadores, precursores de ozono y gases de efecto invernadero;5,0;Extracción y distribución de combustibles fósiles y energía geotérmica;PFC;t CO2eq;0.00
2020;Acidificadores, precursores de ozono y gases de efecto invernadero;6,0;Uso de disolventes y otros productos;PFC;t CO2eq;1048.93
2020;Acidificadores, precursores de ozono y gases de efecto invernadero;7,0;Transporte por carretera;PFC;t CO2eq;0.00
2020;Acidificadores, precursores de ozono y gases de efecto invernadero;8,0;Otros modos de transporte y maquinaria móvil;PFC;t CO2eq;0.00
2020;Acidificadores, precursores de ozono y gases de efecto invernadero;9,0;Tratamiento y eliminación de residuos;PFC;t CO2eq;0.00
2020;Acidificadores, precursores de ozono y gases de efecto invernadero;10,0;Agricultura;PFC;t CO2eq;0.00
2020;Acidificadores, precursores de ozono y gases de efecto invernadero;11,0;Otras fuentes y sumideros (naturaleza);PFC;t CO2eq;0.00
2020;Metales pesados;1,0;Combustión en la producción y transformación de energía;As;kg;0.09
2020;Metales pesados;2,0;Plantas de combustión no industrial;As;kg;24.82
2020;Metales pesados;3,0;Plantas de combustión industrial;As;kg;7.82
2020;Metales pesados;4,0;Procesos industriales sin combustión;As;kg;1.20
2020;Metales pesados;5,0;Extracción y distribución de combustibles fósiles y energía geotérmica;As;kg;0.00
2020;Metales pesados;6,0;Uso de disolventes y otros productos;As;kg;0.00
2020;Metales pesados;7,0;Transporte por carretera;As;kg;10.51
2020;Metales pesados;8,0;Otros modos de transporte y maquinaria móvil;As;kg;0.10
2020;Metales pesados;9,0;Tratamiento y eliminación de residuos;As;kg;4.07
2020;Metales pesados;10,0;Agricultura;As;kg;0.00
2020;Metales pesados;11,0;Otras fuentes y sumideros (naturaleza);As;kg;0.00
2020;Metales pesados;1,0;Combustión en la producción y transformación de energía;Cd;kg;1.16
2020;Metales pesados;2,0;Plantas de combustión no industrial;Cd;kg;45.15
2020;Metales pesados;3,0;Plantas de combustión industrial;Cd;kg;65.69
2020;Metales pesados;4,0;Procesos industriales sin combustión;Cd;kg;17.71
2020;Metales pesados;5,0;Extracción y distribución de combustibles fósiles y energía geotérmica;Cd;kg;0.00
2020;Metales pesados;6,0;Uso de disolventes y otros productos;Cd;kg;47.41
