atm_inventario_año;atm_inventario_grupo_cont;atm_inventario_sector;atm_inventario_sector_descripcion;atm_inventario_cont_desc;atm_inventario_cont_unidades;atm_inventario_cont_cantidad
2005;Contaminantes orgánicos persistentes;8,0;Otros modos de transporte y maquinaria móvil;BENZO (a);kg;1.78
2005;Contaminantes orgánicos persistentes;9,0;Tratamiento y eliminación de residuos;BENZO (a);kg;0.18
2005;Contaminantes orgánicos persistentes;10,0;Agricultura;BENZO (a);kg;0.01
2005;Contaminantes orgánicos persistentes;11,0;Otras fuentes y sumideros (naturaleza);BENZO (a);kg;0.00
2005;Contaminantes orgánicos persistentes;1,0;Combustión en la producción y transformación de energía;BENZO (b);kg;0.00
2005;Contaminantes orgánicos persistentes;2,0;Plantas de combustión no industrial;BENZO (b);kg;1039.30
2005;Contaminantes orgánicos persistentes;3,0;Plantas de combustión industrial;BENZO (b);kg;95.31
2005;Contaminantes orgánicos persistentes;4,0;Procesos industriales sin combustión;BENZO (b);kg;0.00
2005;Contaminantes orgánicos persistentes;5,0;Extracción y distribución de combustibles fósiles y energía geotérmica;BENZO (b);kg;0.00
2005;Contaminantes orgánicos persistentes;6,0;Uso de disolventes y otros productos;BENZO (b);kg;0.67
2005;Contaminantes orgánicos persistentes;7,0;Transporte por carretera;BENZO (b);kg;74.79
2005;Contaminantes orgánicos persistentes;8,0;Otros modos de transporte y maquinaria móvil;BENZO (b);kg;2.97
2005;Contaminantes orgánicos persistentes;9,0;Tratamiento y eliminación de residuos;BENZO (b);kg;0.33
2005;Contaminantes orgánicos persistentes;10,0;Agricultura;BENZO (b);kg;0.03
2005;Contaminantes orgánicos persistentes;11,0;Otras fuentes y sumideros (naturaleza);BENZO (b);kg;0.00
2005;Contaminantes orgánicos persistentes;1,0;Combustión en la producción y transformación de energía;BENZO (k);kg;0.00
2005;Contaminantes orgánicos persistentes;2,0;Plantas de combustión no industrial;BENZO (k);kg;415.33
2005;Contaminantes orgánicos persistentes;3,0;Plantas de combustión industrial;BENZO (k);kg;32.18
2005;Contaminantes orgánicos persistentes;4,0;Procesos industriales sin combustión;BENZO (k);kg;0.00
2005;Contaminantes orgánicos persistentes;5,0;Extracción y distribución de combustibles fósiles y energía geotérmica;BENZO (k);kg;0.00
2005;Contaminantes orgánicos persistentes;6,0;Uso de disolventes y otros productos;BENZO (k);kg;0.67
2005;Contaminantes orgánicos persistentes;7,0;Transporte por carretera;BENZO (k);kg;63.50
2005;Contaminantes orgánicos persistentes;8,0;Otros modos de transporte y maquinaria móvil;BENZO (k);kg;2.04
2005;Contaminantes orgánicos persistentes;9,0;Tratamiento y eliminación de residuos;BENZO (k);kg;0.75
2005;Contaminantes orgánicos persistentes;10,0;Agricultura;BENZO (k);kg;0.01
2005;Contaminantes orgánicos persistentes;11,0;Otras fuentes y sumideros (naturaleza);BENZO (k);kg;0.00
2005;Contaminantes orgánicos persistentes;1,0;Combustión en la producción y transformación de energía;INDENO;kg;0.00
2005;Contaminantes orgánicos persistentes;2,0;Plantas de combustión no industrial;INDENO;kg;468.64
2005;Contaminantes orgánicos persistentes;3,0;Plantas de combustión industrial;INDENO;kg;27.00
2005;Contaminantes orgánicos persistentes;4,0;Procesos industriales sin combustión;INDENO;kg;0.00
2005;Contaminantes orgánicos persistentes;5,0;Extracción y distribución de combustibles fósiles y energía geotérmica;INDENO;kg;0.00
2005;Contaminantes orgánicos persistentes;6,0;Uso de disolventes y otros productos;INDENO;kg;0.67
2005;Contaminantes orgánicos persistentes;7,0;Transporte por carretera;INDENO;kg;53.88
2005;Contaminantes orgánicos persistentes;8,0;Otros modos de transporte y maquinaria móvil;INDENO;kg;6.43
2005;Contaminantes orgánicos persistentes;9,0;Tratamiento y eliminación de residuos;INDENO;kg;0.00
2005;Contaminantes orgánicos persistentes;10,0;Agricultura;INDENO;kg;0.01
2005;Contaminantes orgánicos persistentes;11,0;Otras fuentes y sumideros (naturaleza);INDENO;kg;0.00
2005;Contaminantes orgánicos persistentes;1,0;Combustión en la producción y transformación de energía;HAP;kg;0.00
2005;Contaminantes orgánicos persistentes;2,0;Plantas de combustión no industrial;HAP;kg;3016.15
2005;Contaminantes orgánicos persistentes;3,0;Plantas de combustión industrial;HAP;kg;212.13
2005;Contaminantes orgánicos persistentes;4,0;Procesos industriales sin combustión;HAP;kg;460.74
2005;Contaminantes orgánicos persistentes;5,0;Extracción y distribución de combustibles fósiles y energía geotérmica;HAP;kg;0.00
2005;Contaminantes orgánicos persistentes;6,0;Uso de disolventes y otros productos;HAP;kg;3.66
2005;Contaminantes orgánicos persistentes;7,0;Transporte por carretera;HAP;kg;246.06
2005;Contaminantes orgánicos persistentes;8,0;Otros modos de transporte y maquinaria móvil;HAP;kg;13.22
2005;Contaminantes orgánicos persistentes;9,0;Tratamiento y eliminación de residuos;HAP;kg;1.26
2005;Contaminantes orgánicos persistentes;10,0;Agricultura;HAP;kg;0.05
2005;Contaminantes orgánicos persistentes;11,0;Otras fuentes y sumideros (naturaleza);HAP;kg;0.00
2005;Contaminantes orgánicos persistentes;1,0;Combustión en la producción y transformación de energía;PCB;kg;0.00
2005;Contaminantes orgánicos persistentes;2,0;Plantas de combustión no industrial;PCB;kg;0.47
2005;Contaminantes orgánicos persistentes;3,0;Plantas de combustión industrial;PCB;kg;0.04
2005;Contaminantes orgánicos persistentes;4,0;Procesos industriales sin combustión;PCB;kg;2.40
2005;Contaminantes orgánicos persistentes;5,0;Extracción y distribución de combustibles fósiles y energía geotérmica;PCB;kg;0.00
2005;Contaminantes orgánicos persistentes;6,0;Uso de disolventes y otros productos;PCB;kg;0.00
2005;Contaminantes orgánicos persistentes;7,0;Transporte por carretera;PCB;kg;0.43
2005;Contaminantes orgánicos persistentes;8,0;Otros modos de transporte y maquinaria móvil;PCB;kg;0.00
2005;Contaminantes orgánicos persistentes;9,0;Tratamiento y eliminación de residuos;PCB;kg;0.00
2005;Contaminantes orgánicos persistentes;10,0;Agricultura;PCB;kg;0.00
2005;Contaminantes orgánicos persistentes;11,0;Otras fuentes y sumideros (naturaleza);PCB;kg;0.00
2004;Acidificadores, precursores de ozono y gases de efecto invernadero;1,0;Combustión en la producción y transformación de energía;SOx;t;0.63
2004;Acidificadores, precursores de ozono y gases de efecto invernadero;2,0;Plantas de combustión no industrial;SOx;t;7696.04
2004;Acidificadores, precursores de ozono y gases de efecto invernadero;3,0;Plantas de combustión industrial;SOx;t;7610.30
2004;Acidificadores, precursores de ozono y gases de efecto invernadero;4,0;Procesos industriales sin combustión;SOx;t;50.60
2004;Acidificadores, precursores de ozono y gases de efecto invernadero;5,0;Extracción y distribución de combustibles fósiles y energía geotérmica;SOx;t;0.00
2004;Acidificadores, precursores de ozono y gases de efecto invernadero;6,0;Uso de disolventes y otros productos;SOx;t;2.14
2004;Acidificadores, precursores de ozono y gases de efecto invernadero;7,0;Transporte por carretera;SOx;t;1781.06
2004;Acidificadores, precursores de ozono y gases de efecto invernadero;8,0;Otros modos de transporte y maquinaria móvil;SOx;t;1677.14
2004;Acidificadores, precursores de ozono y gases de efecto invernadero;9,0;Tratamiento y eliminación de residuos;SOx;t;8.49
2004;Acidificadores, precursores de ozono y gases de efecto invernadero;10,0;Agricultura;SOx;t;0.01
2004;Acidificadores, precursores de ozono y gases de efecto invernadero;11,0;Otras fuentes y sumideros (naturaleza);SOx;t;24.21
2004;Acidificadores, precursores de ozono y gases de efecto invernadero;1,0;Combustión en la producción y transformación de energía;NOx;t;256.95
2004;Acidificadores, precursores de ozono y gases de efecto invernadero;2,0;Plantas de combustión no industrial;NOx;t;6982.36
2004;Acidificadores, precursores de ozono y gases de efecto invernadero;3,0;Plantas de combustión industrial;NOx;t;10836.48
2004;Acidificadores, precursores de ozono y gases de efecto invernadero;4,0;Procesos industriales sin combustión;NOx;t;109.63
2004;Acidificadores, precursores de ozono y gases de efecto invernadero;5,0;Extracción y distribución de combustibles fósiles y energía geotérmica;NOx;t;0.00
2004;Acidificadores, precursores de ozono y gases de efecto invernadero;6,0;Uso de disolventes y otros productos;NOx;t;25.78
2004;Acidificadores, precursores de ozono y gases de efecto invernadero;7,0;Transporte por carretera;NOx;t;50126.22
2004;Acidificadores, precursores de ozono y gases de efecto invernadero;8,0;Otros modos de transporte y maquinaria móvil;NOx;t;29740.83
2004;Acidificadores, precursores de ozono y gases de efecto invernadero;9,0;Tratamiento y eliminación de residuos;NOx;t;787.34
2004;Acidificadores, precursores de ozono y gases de efecto invernadero;10,0;Agricultura;NOx;t;760.81
2004;Acidificadores, precursores de ozono y gases de efecto invernadero;11,0;Otras fuentes y sumideros (naturaleza);NOx;t;119.89
2004;Acidificadores, precursores de ozono y gases de efecto invernadero;1,0;Combustión en la producción y transformación de energía;COVNM;t;1.23
2004;Acidificadores, precursores de ozono y gases de efecto invernadero;2,0;Plantas de combustión no industrial;COVNM;t;1718.23
2004;Acidificadores, precursores de ozono y gases de efecto invernadero;3,0;Plantas de combustión industrial;COVNM;t;2335.95
2004;Acidificadores, precursores de ozono y gases de efecto invernadero;4,0;Procesos industriales sin combustión;COVNM;t;1229.77
2004;Acidificadores, precursores de ozono y gases de efecto invernadero;5,0;Extracción y distribución de combustibles fósiles y energía geotérmica;COVNM;t;1092.56
2004;Acidificadores, precursores de ozono y gases de efecto invernadero;6,0;Uso de disolventes y otros productos;COVNM;t;49490.40
2004;Acidificadores, precursores de ozono y gases de efecto invernadero;7,0;Transporte por carretera;COVNM;t;14733.10
2004;Acidificadores, precursores de ozono y gases de efecto invernadero;8,0;Otros modos de transporte y maquinaria móvil;COVNM;t;806.23
2004;Acidificadores, precursores de ozono y gases de efecto invernadero;9,0;Tratamiento y eliminación de residuos;COVNM;t;568.16
2004;Acidificadores, precursores de ozono y gases de efecto invernadero;10,0;Agricultura;COVNM;t;1311.12
2004;Acidificadores, precursores de ozono y gases de efecto invernadero;11,0;Otras fuentes y sumideros (naturaleza);COVNM;t;317.46
2004;Acidificadores, precursores de ozono y gases de efecto invernadero;1,0;Combustión en la producción y transformación de energía;CH4;t;2.50
2004;Acidificadores, precursores de ozono y gases de efecto invernadero;2,0;Plantas de combustión no industrial;CH4;t;2625.93
2004;Acidificadores, precursores de ozono y gases de efecto invernadero;3,0;Plantas de combustión industrial;CH4;t;3810.44
2004;Acidificadores, precursores de ozono y gases de efecto invernadero;4,0;Procesos industriales sin combustión;CH4;t;0.00
2004;Acidificadores, precursores de ozono y gases de efecto invernadero;5,0;Extracción y distribución de combustibles fósiles y energía geotérmica;CH4;t;660.11
2004;Acidificadores, precursores de ozono y gases de efecto invernadero;6,0;Uso de disolventes y otros productos;CH4;t;0.00
2004;Acidificadores, precursores de ozono y gases de efecto invernadero;7,0;Transporte por carretera;CH4;t;1294.30
2004;Acidificadores, precursores de ozono y gases de efecto invernadero;8,0;Otros modos de transporte y maquinaria móvil;CH4;t;45.95
2004;Acidificadores, precursores de ozono y gases de efecto invernadero;9,0;Tratamiento y eliminación de residuos;CH4;t;53135.20
2004;Acidificadores, precursores de ozono y gases de efecto invernadero;10,0;Agricultura;CH4;t;6289.13
2004;Acidificadores, precursores de ozono y gases de efecto invernadero;11,0;Otras fuentes y sumideros (naturaleza);CH4;t;74.66
2004;Acidificadores, precursores de ozono y gases de efecto invernadero;1,0;Combustión en la producción y transformación de energía;CO;t;425.30
2004;Acidificadores, precursores de ozono y gases de efecto invernadero;2,0;Plantas de combustión no industrial;CO;t;25930.24
2004;Acidificadores, precursores de ozono y gases de efecto invernadero;3,0;Plantas de combustión industrial;CO;t;9342.11
2004;Acidificadores, precursores de ozono y gases de efecto invernadero;4,0;Procesos industriales sin combustión;CO;t;1433.96
2004;Acidificadores, precursores de ozono y gases de efecto invernadero;5,0;Extracción y distribución de combustibles fósiles y energía geotérmica;CO;t;0.00
2004;Acidificadores, precursores de ozono y gases de efecto invernadero;6,0;Uso de disolventes y otros productos;CO;t;788.62
2004;Acidificadores, precursores de ozono y gases de efecto invernadero;7,0;Transporte por carretera;CO;t;120871.94
2004;Acidificadores, precursores de ozono y gases de efecto invernadero;8,0;Otros modos de transporte y maquinaria móvil;CO;t;6786.40
2004;Acidificadores, precursores de ozono y gases de efecto invernadero;9,0;Tratamiento y eliminación de residuos;CO;t;1602.79
2004;Acidificadores, precursores de ozono y gases de efecto invernadero;10,0;Agricultura;CO;t;1.06
2004;Acidificadores, precursores de ozono y gases de efecto invernadero;11,0;Otras fuentes y sumideros (naturaleza);CO;t;3442.95
2004;Acidificadores, precursores de ozono y gases de efecto invernadero;1,0;Combustión en la producción y transformación de energía;CO2;kt;26.59
2004;Acidificadores, precursores de ozono y gases de efecto invernadero;2,0;Plantas de combustión no industrial;CO2;kt;6638.81
2004;Acidificadores, precursores de ozono y gases de efecto invernadero;3,0;Plantas de combustión industrial;CO2;kt;4442.83
2004;Acidificadores, precursores de ozono y gases de efecto invernadero;4,0;Procesos industriales sin combustión;CO2;kt;1379.33
2004;Acidificadores, precursores de ozono y gases de efecto invernadero;5,0;Extracción y distribución de combustibles fósiles y energía geotérmica;CO2;kt;0.01
2004;Acidificadores, precursores de ozono y gases de efecto invernadero;6,0;Uso de disolventes y otros productos;CO2;kt;94.59
2004;Acidificadores, precursores de ozono y gases de efecto invernadero;7,0;Transporte por carretera;CO2;kt;10752.89
2004;Acidificadores, precursores de ozono y gases de efecto invernadero;8,0;Otros modos de transporte y maquinaria móvil;CO2;kt;6011.20
2004;Acidificadores, precursores de ozono y gases de efecto invernadero;9,0;Tratamiento y eliminación de residuos;CO2;kt;132.01
2004;Acidificadores, precursores de ozono y gases de efecto invernadero;10,0;Agricultura;CO2;kt;3.99
2004;Acidificadores, precursores de ozono y gases de efecto invernadero;11,0;Otras fuentes y sumideros (naturaleza);CO2;kt;0.00
2004;Acidificadores, precursores de ozono y gases de efecto invernadero;1,0;Combustión en la producción y transformación de energía;N2O;t;0.29
2004;Acidificadores, precursores de ozono y gases de efecto invernadero;2,0;Plantas de combustión no industrial;N2O;t;48.28
2004;Acidificadores, precursores de ozono y gases de efecto invernadero;3,0;Plantas de combustión industrial;N2O;t;53.97
2004;Acidificadores, precursores de ozono y gases de efecto invernadero;4,0;Procesos industriales sin combustión;N2O;t;0.00
2004;Acidificadores, precursores de ozono y gases de efecto invernadero;5,0;Extracción y distribución de combustibles fósiles y energía geotérmica;N2O;t;0.00
2004;Acidificadores, precursores de ozono y gases de efecto invernadero;6,0;Uso de disolventes y otros productos;N2O;t;223.76
2004;Acidificadores, precursores de ozono y gases de efecto invernadero;7,0;Transporte por carretera;N2O;t;364.22
2004;Acidificadores, precursores de ozono y gases de efecto invernadero;8,0;Otros modos de transporte y maquinaria móvil;N2O;t;165.49
2004;Acidificadores, precursores de ozono y gases de efecto invernadero;9,0;Tratamiento y eliminación de residuos;N2O;t;461.11
2004;Acidificadores, precursores de ozono y gases de efecto invernadero;10,0;Agricultura;N2O;t;399.63
2004;Acidificadores, precursores de ozono y gases de efecto invernadero;11,0;Otras fuentes y sumideros (naturaleza);N2O;t;12.95
2004;Acidificadores, precursores de ozono y gases de efecto invernadero;1,0;Combustión en la producción y transformación de energía;NH3;t;0.00
2004;Acidificadores, precursores de ozono y gases de efecto invernadero;2,0;Plantas de combustión no industrial;NH3;t;201.42
2004;Acidificadores, precursores de ozono y gases de efecto invernadero;3,0;Plantas de combustión industrial;NH3;t;193.98
2004;Acidificadores, precursores de ozono y gases de efecto invernadero;4,0;Procesos industriales sin combustión;NH3;t;0.00
2004;Acidificadores, precursores de ozono y gases de efecto invernadero;5,0;Extracción y distribución de combustibles fósiles y energía geotérmica;NH3;t;0.00
2004;Acidificadores, precursores de ozono y gases de efecto invernadero;6,0;Uso de disolventes y otros productos;NH3;t;70.76
2004;Acidificadores, precursores de ozono y gases de efecto invernadero;7,0;Transporte por carretera;NH3;t;828.19
2004;Acidificadores, precursores de ozono y gases de efecto invernadero;8,0;Otros modos de transporte y maquinaria móvil;NH3;t;0.55
2004;Acidificadores, precursores de ozono y gases de efecto invernadero;9,0;Tratamiento y eliminación de residuos;NH3;t;1303.95
2004;Acidificadores, precursores de ozono y gases de efecto invernadero;10,0;Agricultura;NH3;t;3945.77
2004;Acidificadores, precursores de ozono y gases de efecto invernadero;11,0;Otras fuentes y sumideros (naturaleza);NH3;t;26.92
2004;Acidificadores, precursores de ozono y gases de efecto invernadero;1,0;Combustión en la producción y transformación de energía;SF6;t CO2eq;0.00
2004;Acidificadores, precursores de ozono y gases de efecto invernadero;2,0;Plantas de combustión no industrial;SF6;t CO2eq;0.00
2004;Acidificadores, precursores de ozono y gases de efecto invernadero;3,0;Plantas de combustión industrial;SF6;t CO2eq;0.00
2004;Acidificadores, precursores de ozono y gases de efecto invernadero;4,0;Procesos industriales sin combustión;SF6;t CO2eq;0.00
2004;Acidificadores, precursores de ozono y gases de efecto invernadero;5,0;Extracción y distribución de combustibles fósiles y energía geotérmica;SF6;t CO2eq;0.00
2004;Acidificadores, precursores de ozono y gases de efecto invernadero;6,0;Uso de disolventes y otros productos;SF6;t CO2eq;22417.98
2004;Acidificadores, precursores de ozono y gases de efecto invernadero;7,0;Transporte por carretera;SF6;t CO2eq;0.00
2004;Acidificadores, precursores de ozono y gases de efecto invernadero;8,0;Otros modos de transporte y maquinaria móvil;SF6;t CO2eq;0.00
2004;Acidificadores, precursores de ozono y gases de efecto invernadero;9,0;Tratamiento y eliminación de residuos;SF6;t CO2eq;0.00
2004;Acidificadores, precursores de ozono y gases de efecto invernadero;10,0;Agricultura;SF6;t CO2eq;0.00
2004;Acidificadores, precursores de ozono y gases de efecto invernadero;11,0;Otras fuentes y sumideros (naturaleza);SF6;t CO2eq;0.00
2004;Acidificadores, precursores de ozono y gases de efecto invernadero;1,0;Combustión en la producción y transformación de energía;HFC;t CO2eq;0.00
2004;Acidificadores, precursores de ozono y gases de efecto invernadero;2,0;Plantas de combustión no industrial;HFC;t CO2eq;0.00
2004;Acidificadores, precursores de ozono y gases de efecto invernadero;3,0;Plantas de combustión industrial;HFC;t CO2eq;0.00
2004;Acidificadores, precursores de ozono y gases de efecto invernadero;4,0;Procesos industriales sin combustión;HFC;t CO2eq;0.00
2004;Acidificadores, precursores de ozono y gases de efecto invernadero;5,0;Extracción y distribución de combustibles fósiles y energía geotérmica;HFC;t CO2eq;0.00
2004;Acidificadores, precursores de ozono y gases de efecto invernadero;6,0;Uso de disolventes y otros productos;HFC;t CO2eq;1264502.96
2004;Acidificadores, precursores de ozono y gases de efecto invernadero;7,0;Transporte por carretera;HFC;t CO2eq;0.00
2004;Acidificadores, precursores de ozono y gases de efecto invernadero;8,0;Otros modos de transporte y maquinaria móvil;HFC;t CO2eq;0.00
2004;Acidificadores, precursores de ozono y gases de efecto invernadero;9,0;Tratamiento y eliminación de residuos;HFC;t CO2eq;0.00
2004;Acidificadores, precursores de ozono y gases de efecto invernadero;10,0;Agricultura;HFC;t CO2eq;0.00
2004;Acidificadores, precursores de ozono y gases de efecto invernadero;11,0;Otras fuentes y sumideros (naturaleza);HFC;t CO2eq;0.00
2004;Acidificadores, precursores de ozono y gases de efecto invernadero;1,0;Combustión en la producción y transformación de energía;PFC;t CO2eq;0.00
2004;Acidificadores, precursores de ozono y gases de efecto invernadero;2,0;Plantas de combustión no industrial;PFC;t CO2eq;0.00
2004;Acidificadores, precursores de ozono y gases de efecto invernadero;3,0;Plantas de combustión industrial;PFC;t CO2eq;0.00
2004;Acidificadores, precursores de ozono y gases de efecto invernadero;4,0;Procesos industriales sin combustión;PFC;t CO2eq;0.00
2004;Acidificadores, precursores de ozono y gases de efecto invernadero;5,0;Extracción y distribución de combustibles fósiles y energía geotérmica;PFC;t CO2eq;0.00
2004;Acidificadores, precursores de ozono y gases de efecto invernadero;6,0;Uso de disolventes y otros productos;PFC;t CO2eq;35.40
2004;Acidificadores, precursores de ozono y gases de efecto invernadero;7,0;Transporte por carretera;PFC;t CO2eq;0.00
2004;Acidificadores, precursores de ozono y gases de efecto invernadero;8,0;Otros modos de transporte y maquinaria móvil;PFC;t CO2eq;0.00
2004;Acidificadores, precursores de ozono y gases de efecto invernadero;9,0;Tratamiento y eliminación de residuos;PFC;t CO2eq;0.00
2004;Acidificadores, precursores de ozono y gases de efecto invernadero;10,0;Agricultura;PFC;t CO2eq;0.00
2004;Acidificadores, precursores de ozono y gases de efecto invernadero;11,0;Otras fuentes y sumideros (naturaleza);PFC;t CO2eq;0.00
2004;Metales pesados;1,0;Combustión en la producción y transformación de energía;As;kg;0.06
2004;Metales pesados;2,0;Plantas de combustión no industrial;As;kg;45.97
2004;Metales pesados;3,0;Plantas de combustión industrial;As;kg;72.92
2004;Metales pesados;4,0;Procesos industriales sin combustión;As;kg;6.83
2004;Metales pesados;5,0;Extracción y distribución de combustibles fósiles y energía geotérmica;As;kg;0.00
2004;Metales pesados;6,0;Uso de disolventes y otros productos;As;kg;0.00
2004;Metales pesados;7,0;Transporte por carretera;As;kg;11.93
2004;Metales pesados;8,0;Otros modos de transporte y maquinaria móvil;As;kg;0.19
2004;Metales pesados;9,0;Tratamiento y eliminación de residuos;As;kg;5.18
2004;Metales pesados;10,0;Agricultura;As;kg;0.00
2004;Metales pesados;11,0;Otras fuentes y sumideros (naturaleza);As;kg;0.00
2004;Metales pesados;1,0;Combustión en la producción y transformación de energía;Cd;kg;0.00
2004;Metales pesados;2,0;Plantas de combustión no industrial;Cd;kg;54.76
2004;Metales pesados;3,0;Plantas de combustión industrial;Cd;kg;303.94
2004;Metales pesados;4,0;Procesos industriales sin combustión;Cd;kg;102.88
2004;Metales pesados;5,0;Extracción y distribución de combustibles fósiles y energía geotérmica;Cd;kg;0.00
2004;Metales pesados;6,0;Uso de disolventes y otros productos;Cd;kg;76.79
2004;Metales pesados;7,0;Transporte por carretera;Cd;kg;34.79
2004;Metales pesados;8,0;Otros modos de transporte y maquinaria móvil;Cd;kg;0.67
2004;Metales pesados;9,0;Tratamiento y eliminación de residuos;Cd;kg;6.92
2004;Metales pesados;10,0;Agricultura;Cd;kg;0.01
2004;Metales pesados;11,0;Otras fuentes y sumideros (naturaleza);Cd;kg;0.00
2004;Metales pesados;1,0;Combustión en la producción y transformación de energía;Cr;kg;0.00
2004;Metales pesados;2,0;Plantas de combustión no industrial;Cr;kg;630.71
2004;Metales pesados;3,0;Plantas de combustión industrial;Cr;kg;348.24
2004;Metales pesados;4,0;Procesos industriales sin combustión;Cr;kg;89.03
2004;Metales pesados;5,0;Extracción y distribución de combustibles fósiles y energía geotérmica;Cr;kg;0.00
2004;Metales pesados;6,0;Uso de disolventes y otros productos;Cr;kg;0.01
2004;Metales pesados;7,0;Transporte por carretera;Cr;kg;510.55
2004;Metales pesados;8,0;Otros modos de transporte y maquinaria móvil;Cr;kg;25.38
2004;Metales pesados;9,0;Tratamiento y eliminación de residuos;Cr;kg;49.55
2004;Metales pesados;10,0;Agricultura;Cr;kg;0.00
2004;Metales pesados;11,0;Otras fuentes y sumideros (naturaleza);Cr;kg;0.00
2004;Metales pesados;1,0;Combustión en la producción y transformación de energía;Cu;kg;0.00
2004;Metales pesados;2,0;Plantas de combustión no industrial;Cu;kg;177.68
2004;Metales pesados;3,0;Plantas de combustión industrial;Cu;kg;119.86
2004;Metales pesados;4,0;Procesos industriales sin combustión;Cu;kg;17.52
2004;Metales pesados;5,0;Extracción y distribución de combustibles fósiles y energía geotérmica;Cu;kg;0.00
2004;Metales pesados;6,0;Uso de disolventes y otros productos;Cu;kg;77.11
2004;Metales pesados;7,0;Transporte por carretera;Cu;kg;12958.43
2004;Metales pesados;8,0;Otros modos de transporte y maquinaria móvil;Cu;kg;113.02
2004;Metales pesados;9,0;Tratamiento y eliminación de residuos;Cu;kg;55.47
2004;Metales pesados;10,0;Agricultura;Cu;kg;0.00
2004;Metales pesados;11,0;Otras fuentes y sumideros (naturaleza);Cu;kg;0.00
2004;Metales pesados;1,0;Combustión en la producción y transformación de energía;Hg;kg;0.05
2004;Metales pesados;2,0;Plantas de combustión no industrial;Hg;kg;28.16
2004;Metales pesados;3,0;Plantas de combustión industrial;Hg;kg;65.07
2004;Metales pesados;4,0;Procesos industriales sin combustión;Hg;kg;64.09
2004;Metales pesados;5,0;Extracción y distribución de combustibles fósiles y energía geotérmica;Hg;kg;0.00
2004;Metales pesados;6,0;Uso de disolventes y otros productos;Hg;kg;32.52
2004;Metales pesados;7,0;Transporte por carretera;Hg;kg;22.19
2004;Metales pesados;8,0;Otros modos de transporte y maquinaria móvil;Hg;kg;4.26
2004;Metales pesados;9,0;Tratamiento y eliminación de residuos;Hg;kg;18.37
2004;Metales pesados;10,0;Agricultura;Hg;kg;0.00
2004;Metales pesados;11,0;Otras fuentes y sumideros (naturaleza);Hg;kg;0.00
2004;Metales pesados;1,0;Combustión en la producción y transformación de energía;Ni;kg;0.00
2004;Metales pesados;2,0;Plantas de combustión no industrial;Ni;kg;5232.74
2004;Metales pesados;3,0;Plantas de combustión industrial;Ni;kg;1830.34
2004;Metales pesados;4,0;Procesos industriales sin combustión;Ni;kg;342.08
2004;Metales pesados;5,0;Extracción y distribución de combustibles fósiles y energía geotérmica;Ni;kg;0.00
2004;Metales pesados;6,0;Uso de disolventes y otros productos;Ni;kg;38.42
2004;Metales pesados;7,0;Transporte por carretera;Ni;kg;269.47
2004;Metales pesados;8,0;Otros modos de transporte y maquinaria móvil;Ni;kg;4.18
2004;Metales pesados;9,0;Tratamiento y eliminación de residuos;Ni;kg;2.09
2004;Metales pesados;10,0;Agricultura;Ni;kg;0.00
2004;Metales pesados;11,0;Otras fuentes y sumideros (naturaleza);Ni;kg;0.00
2004;Metales pesados;1,0;Combustión en la producción y transformación de energía;Pb;kg;0.00
2004;Metales pesados;2,0;Plantas de combustión no industrial;Pb;kg;871.59
2004;Metales pesados;3,0;Plantas de combustión industrial;Pb;kg;492.61
2004;Metales pesados;4,0;Procesos industriales sin combustión;Pb;kg;1265.25
2004;Metales pesados;5,0;Extracción y distribución de combustibles fósiles y energía geotérmica;Pb;kg;0.00
2004;Metales pesados;6,0;Uso de disolventes y otros productos;Pb;kg;0.55
2004;Metales pesados;7,0;Transporte por carretera;Pb;kg;11057.23
2004;Metales pesados;8,0;Otros modos de transporte y maquinaria móvil;Pb;kg;779.26
2004;Metales pesados;9,0;Tratamiento y eliminación de residuos;Pb;kg;64.45
2004;Metales pesados;10,0;Agricultura;Pb;kg;0.00
2004;Metales pesados;11,0;Otras fuentes y sumideros (naturaleza);Pb;kg;0.00
2004;Metales pesados;1,0;Combustión en la producción y transformación de energía;Se;kg;0.01
2004;Metales pesados;2,0;Plantas de combustión no industrial;Se;kg;10.18
2004;Metales pesados;3,0;Plantas de combustión industrial;Se;kg;12.59
2004;Metales pesados;4,0;Procesos industriales sin combustión;Se;kg;0.00
2004;Metales pesados;5,0;Extracción y distribución de combustibles fósiles y energía geotérmica;Se;kg;0.00
2004;Metales pesados;6,0;Uso de disolventes y otros productos;Se;kg;0.00
2004;Metales pesados;7,0;Transporte por carretera;Se;kg;38.44
2004;Metales pesados;8,0;Otros modos de transporte y maquinaria móvil;Se;kg;0.75
2004;Metales pesados;9,0;Tratamiento y eliminación de residuos;Se;kg;4.60
2004;Metales pesados;10,0;Agricultura;Se;kg;0.00
2004;Metales pesados;11,0;Otras fuentes y sumideros (naturaleza);Se;kg;0.00
2004;Metales pesados;1,0;Combustión en la producción y transformación de energía;Zn;kg;0.35
2004;Metales pesados;2,0;Plantas de combustión no industrial;Zn;kg;2479.38
2004;Metales pesados;3,0;Plantas de combustión industrial;Zn;kg;3053.25
2004;Metales pesados;4,0;Procesos industriales sin combustión;Zn;kg;1943.70
2004;Metales pesados;5,0;Extracción y distribución de combustibles fósiles y energía geotérmica;Zn;kg;0.00
2004;Metales pesados;6,0;Uso de disolventes y otros productos;Zn;kg;38.58
